antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Weather_Fair'}),frozenset({'Weekday_Monday'}),0.39941937053422594,0.1476975753043259,0.05620608561671608,0.14071947873118942,0.9527541561954668,-0.0027871869407692026,0.9918791402802514,-0.0762704443545798
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Monday'}),0.3692583548831803,0.1476975753043259,0.05580602434607102,0.15113002484053742,1.0232397148642358,0.0012674606689610027,1.0040435515881765,0.0360082405103296
frozenset({'Weekday_Monday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.1476975753043259,0.3692583548831803,0.05580602434607102,0.3778398137619022,1.0232397148642356,0.0012674606689610027,1.013793005512953,0.026647697107463928
frozenset({'Weather_Fair'}),frozenset({'Weekday_Saturday'}),0.39941937053422594,0.10922681852175559,0.05025706639755638,0.1258253107012242,1.1519635232821743,0.006629759298140629,1.0189876146983656,0.2196490381961009
frozenset({'Weekday_Saturday'}),frozenset({'Weather_Fair'}),0.10922681852175559,0.39941937053422594,0.05025706639755638,0.4601165453477552,1.1519635232821743,0.006629759298140629,1.1124264399853225,0.14809264621376342
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'December'}),0.27011920744618545,0.16689186632186911,0.04777776776623447,0.17687660280786588,1.0598275800136365,0.002697069106156455,1.0121303033300437,0.07734180159547459
frozenset({'December'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.16689186632186911,0.27011920744618545,0.04777776776623447,0.2862797859428922,1.0598275800136365,0.002697069106156455,1.0226427361568518,0.06775866560901239
frozenset({'Weekday_Friday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.1733249236369534,0.27011920744618545,0.04741627096041736,0.2735686822498508,1.0127701944496212,0.0005978799569328966,1.0047485216005676,0.015252876518087113
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Friday'}),0.27011920744618545,0.1733249236369534,0.04741627096041736,0.17553831661476305,1.0127701944496212,0.0005978799569328966,1.0026846523281974,0.01727566061332694
frozenset({'October'}),frozenset({'Weather_Fair'}),0.10531811178288566,0.39941937053422594,0.04521845688078354,0.42935119245208114,1.0749383333057212,0.0031523629666101033,1.052452264022898,0.07792051847218752
frozenset({'Weather_Fair'}),frozenset({'October'}),0.39941937053422594,0.10531811178288566,0.04521845688078354,0.11321047554680076,1.0749383333057212,0.0031523629666101033,1.0088999289530192,0.11607779734681925
frozenset({'Weather_Fair'}),frozenset({'Part_of_Day_Night (0-5)'}),0.39941937053422594,0.09910382671219917,0.04461187749475145,0.1116918226451631,1.1270182630739365,0.005027889411831854,1.0141707531843822,0.18765662232934446
frozenset({'Part_of_Day_Night (0-5)'}),frozenset({'Weather_Fair'}),0.09910382671219917,0.39941937053422594,0.04461187749475145,0.4501529252175684,1.1270182630739365,0.005027889411831854,1.092268481565383,0.12510091140766183
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'November'}),0.3692583548831803,0.1259209068055468,0.04455853599199877,0.12067035289179968,0.9583027628457658,-0.0019388109004156995,0.9940289128985765,-0.064532951304718
frozenset({'November'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.1259209068055468,0.3692583548831803,0.04455853599199877,0.35386130168843394,0.9583027628457657,-0.0019388109004156995,0.9761706685654635,-0.04741934642072108
frozenset({'Weekday_Thursday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.16324950668120342,0.27011920744618545,0.04346755809448294,0.2662645601702624,0.9857298290174682,-0.0006292692662244817,0.99474654341786,-0.017006923562871
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Thursday'}),0.27011920744618545,0.16324950668120342,0.04346755809448294,0.16091990830804867,0.9857298290174682,-0.0006292692662244817,0.9972236281181964,-0.019448659840995523
frozenset({'Weekday_Wednesday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.16033518646999992,0.27011920744618545,0.042990728309741134,0.2681303415441193,0.9926370807878874,-0.00031888518527160153,0.9972824861926066,-0.008756567690797466
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Wednesday'}),0.27011920744618545,0.16033518646999992,0.042990728309741134,0.1591546514451623,0.9926370807878874,-0.00031888518527160153,0.9985960140864588,-0.010060424184884396
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weather_Partly Cloudy'}),0.3692583548831803,0.09147238766297541,0.04165214492309633,0.11279946512320223,1.2331531733795467,0.007875201537429509,1.024038621057852,0.29975939220540126
frozenset({'Weather_Partly Cloudy'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.09147238766297541,0.3692583548831803,0.04165214492309633,0.45535211212110466,1.2331531733795467,0.007875201537429509,1.1580723237047925,0.20810675384152846
frozenset({'Weekday_Tuesday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.15639800690195796,0.27011920744618545,0.04120018381193516,0.2634316423083482,0.9752421710360246,-0.001045921858584764,0.9909206456291504,-0.02921367141824851
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Tuesday'}),0.27011920744618545,0.15639800690195796,0.04120018381193516,0.15252593179677262,0.9752421710360245,-0.001045921858584764,0.9954310400158973,-0.03361239823220825
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weekday_Tuesday'}),0.23561986970977536,0.15639800690195796,0.040945009596064265,0.17377570765359585,1.1111120345832255,0.004094531586956385,1.021032667415632,0.1308259386253565
frozenset({'Weekday_Tuesday'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.15639800690195796,0.23561986970977536,0.040945009596064265,0.261800072821463,1.1111120345832255,0.004094531586956385,1.0354649223710313,0.11854019884963574
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weekday_Thursday'}),0.23561986970977536,0.16324950668120342,0.04090031806673094,0.17358603125071703,1.0633173403071836,0.0024354905723206893,1.0125076837521965,0.07790231760054431
frozenset({'Weekday_Thursday'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.16324950668120342,0.23561986970977536,0.04090031806673094,0.2505386931833235,1.0633173403071838,0.0024354905723206893,1.0199060623114964,0.07116456357406353
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weekday_Wednesday'}),0.23561986970977536,0.16033518646999992,0.04053017128749448,0.17201508233332571,1.072846741382692,0.002752015541540566,1.014106411377928,0.0888306937307397
frozenset({'Weekday_Wednesday'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.16033518646999992,0.23561986970977536,0.04053017128749448,0.25278400942314694,1.0728467413826919,0.002752015541540566,1.022970787469525,0.08086609817817246
frozenset({'Weather_Cloudy'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.12816088950559995,0.3692583548831803,0.03968715929466675,0.309666696663592,0.8386179826900845,-0.007637319924536139,0.9136769761337321,-0.18081573577198043
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weather_Cloudy'}),0.3692583548831803,0.12816088950559995,0.03968715929466675,0.10747802661695305,0.8386179826900845,-0.007637319924536139,0.9768264944668535,-0.23377405744435317
frozenset({'October'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.10531811178288566,0.3692583548831803,0.039071209104097025,0.3709828104841332,1.0046700516810199,0.00018161640774577714,1.002741507910587,0.005195526742008566
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'October'}),0.3692583548831803,0.10531811178288566,0.039071209104097025,0.10580995280785918,1.00467005168102,0.00018161640774577714,1.0005500408179648,0.007369647639108746
frozenset({'Weekday_Sunday'}),frozenset({'Weather_Fair'}),0.08976798248380383,0.39941937053422594,0.039033365470387354,0.4348250277032778,1.0886428144976958,0.003178294412579011,1.0626454795497624,0.08945528809098201
frozenset({'Weather_Fair'}),frozenset({'Weekday_Sunday'}),0.39941937053422594,0.08976798248380383,0.039033365470387354,0.09772526910294807,1.088642814497696,0.003178294412579011,1.0088191393892114,0.1355772453550092
frozenset({'Traffic_Signal'}),frozenset({'Weather_Fair'}),0.09382914500418983,0.39941937053422594,0.03886649306650568,0.4142262307172269,1.0370709616892058,0.0013893150311675637,1.0252774380818221,0.039447118851034094
frozenset({'Weather_Fair'}),frozenset({'Traffic_Signal'}),0.39941937053422594,0.09382914500418983,0.03886649306650568,0.09730748164397109,1.0370709616892058,0.0013893150311675637,1.0038532906488644,0.059518785093284454
frozenset({'Weekday_Friday'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.1733249236369534,0.23561986970977536,0.03839146535955957,0.22149996984838938,0.9400733907595392,-0.002447330565236154,0.981862685530486,-0.07159161434127646
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weekday_Friday'}),0.23561986970977536,0.1733249236369534,0.03839146535955957,0.162938148666529,0.9400733907595393,-0.002447330565236154,0.9875913889112521,-0.07697701595308892
frozenset({'September'}),frozenset({'Weather_Fair'}),0.08486488921726751,0.39941937053422594,0.038386779957290756,0.4523281690619373,1.1324642779766678,0.004490099325672951,1.0966067552480985,0.12781712561324893
frozenset({'Weather_Fair'}),frozenset({'September'}),0.39941937053422594,0.08486488921726751,0.038386779957290756,0.09610645549300274,1.1324642779766678,0.004490099325672951,1.0124368254912879,0.19476142530946697
frozenset({'Traffic_Signal'}),frozenset({'Crossing'}),0.09382914500418983,0.07107178576899165,0.03829235108079616,0.4081072152910085,5.742183214834376,0.03162374618817072,1.5694197297703552,0.911362582036284
frozenset({'Crossing'}),frozenset({'Traffic_Signal'}),0.07107178576899165,0.09382914500418983,0.03829235108079616,0.5387841415053196,5.742183214834376,0.03162374618817072,1.9647434889888156,0.8890355546565776
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Monday'}),0.27011920744618545,0.1476975753043259,0.03824153248695746,0.14157279983348145,0.9585316450982723,-0.0016544194959703384,0.99286511952364,-0.05595648548215711
frozenset({'Weekday_Monday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.1476975753043259,0.27011920744618545,0.03824153248695746,0.2589178082860336,0.9585316450982723,-0.0016544194959703384,0.9848850784900858,-0.048307363622312596
frozenset({'Weekday_Monday'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.1476975753043259,0.23561986970977536,0.03812223493688222,0.25811009326546247,1.0954513029117172,0.0033217514872272216,1.0303147722479187,0.10223393112039421
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weekday_Monday'}),0.23561986970977536,0.1476975753043259,0.03812223493688222,0.16179550130402526,1.0954513029117172,0.0033217514872272216,1.0168191962959303,0.11399331815048469
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Weekday_Saturday'}),0.3692583548831803,0.10922681852175559,0.0371548795761513,0.10062028139595035,0.9212049088100922,-0.003178035740315853,0.9904305857161605,-0.11941592319725074
frozenset({'Weekday_Saturday'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.10922681852175559,0.3692583548831803,0.0371548795761513,0.34016260913752483,0.9212049088100923,-0.003178035740315853,0.955904672653327,-0.0876104826026181
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'November'}),0.27011920744618545,0.1259209068055468,0.03651874611426975,0.1351949254535896,1.0736495541789912,0.0025050905670504706,1.0107238254272584,0.09398437100155707
frozenset({'November'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.1259209068055468,0.27011920744618545,0.03651874611426975,0.29001336664977945,1.0736495541789912,0.0025050905670504706,1.0280204700611324,0.07847961097386368
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Traffic_Signal'}),0.3692583548831803,0.09382914500418983,0.036298892623194544,0.0983021565881107,1.0476718783243857,0.0016516968988520286,1.004960654632372,0.07214155026502912
frozenset({'Traffic_Signal'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.09382914500418983,0.3692583548831803,0.036298892623194544,0.3868615942474341,1.0476718783243857,0.0016516968988520286,1.0287100582822692,0.05021423922936983
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Junction'}),0.3692583548831803,0.10203652811691881,0.03511312543362497,0.09509094369640862,0.931930412091721,-0.0025647150768198443,0.9923245497742261,-0.10378408960135012
frozenset({'Junction'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.10203652811691881,0.3692583548831803,0.03511312543362497,0.3441230908345932,0.931930412091721,-0.0025647150768198443,0.961676857810757,-0.07522257340017408
frozenset({'June'}),frozenset({'Weather_Fair'}),0.07960534496274205,0.39941937053422594,0.034761720263463775,0.43667570663418914,1.0932762375798966,0.0029658034872854303,1.0661365691817761,0.0926972868906283
frozenset({'Weather_Fair'}),frozenset({'June'}),0.39941937053422594,0.07960534496274205,0.034761720263463775,0.0870306320321164,1.0932762375798966,0.0029658034872854303,1.0081331174187167,0.14205933925388395
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'December'}),0.23561986970977536,0.16689186632186911,0.03423947811827036,0.14531659897972452,0.870723074661204,-0.005083561680109684,0.9747564217154688,-0.1626451482277896
frozenset({'December'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.16689186632186911,0.23561986970977536,0.03423947811827036,0.20515965740496786,0.8707230746612039,-0.005083561680109684,0.9616775713656411,-0.1512570914381538
frozenset({'June'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.07960534496274205,0.3692583548831803,0.03421749276916285,0.4298391368717487,1.1640606940572378,0.004822554048312652,1.1062520876234563,0.1531280780301787
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'June'}),0.3692583548831803,0.07960534496274205,0.03421749276916285,0.09266545310799534,1.1640606940572378,0.004822554048312652,1.0143939280059262,0.2234484842506339
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weather_Cloudy'}),0.27011920744618545,0.12816088950559995,0.03382536064081886,0.1252238260308006,0.9770829971130075,-0.0007933572580319445,0.996642497175623,-0.03113422387242142
frozenset({'Weather_Cloudy'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.12816088950559995,0.27011920744618545,0.03382536064081886,0.2639288847893091,0.9770829971130075,-0.0007933572580319445,0.9915900481231295,-0.026197561809450296
frozenset({'Weather_Mostly Cloudy'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.13344241910923293,0.27011920744618545,0.03365596532802321,0.25221339325745584,0.9337114366726517,-0.002389395161464504,0.9760549145608135,-0.07572345717810101
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weather_Mostly Cloudy'}),0.27011920744618545,0.13344241910923293,0.03365596532802321,0.124596712859556,0.9337114366726517,-0.002389395161464504,0.9898952786908398,-0.08864636345402052
frozenset({'September'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.08486488921726751,0.3692583548831803,0.032945586260958885,0.38821221078381407,1.0513295248434664,0.0016085168812473363,1.0309810954627212,0.05335107379166267
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'September'}),0.3692583548831803,0.08486488921726751,0.032945586260958885,0.08922096365668328,1.0513295248434666,0.0016085168812473363,1.0047828005098853,0.07740640118295718
frozenset({'Weather_Cloudy'}),frozenset({'Part_of_Day_Morning (6-11)'}),0.12816088950559995,0.23561986970977536,0.03205139525873332,0.2500871785641972,1.0614010561683187,0.001854143171534945,1.0192919876029354,0.0663529106786725
frozenset({'Part_of_Day_Morning (6-11)'}),frozenset({'Weather_Cloudy'}),0.23561986970977536,0.12816088950559995,0.03205139525873332,0.13603010348071498,1.0614010561683187,0.001854143171534945,1.0091082038932353,0.07568101306197443
frozenset({'December'}),frozenset({'Weekday_Thursday'}),0.16689186632186911,0.16324950668120342,0.03125271437967977,0.18726325655323137,1.1470984529155266,0.004007699533529287,1.029546775220457,0.15392389217719782
frozenset({'Weekday_Thursday'}),frozenset({'December'}),0.16324950668120342,0.16689186632186911,0.03125271437967977,0.19144140166200094,1.1470984529155266,0.004007699533529287,1.0303620979241253,0.1532538642810962
frozenset({'Junction'}),frozenset({'Weather_Fair'}),0.10203652811691881,0.39941937053422594,0.031129812674013137,0.3050849852353166,0.7638212058350187,-0.009625553157944423,0.8642504719359769,-0.25614189510829083
frozenset({'Weather_Fair'}),frozenset({'Junction'}),0.39941937053422594,0.10203652811691881,0.031129812674013137,0.07793766394548371,0.7638212058350187,-0.009625553157944423,0.9738641703178621,-0.33986716238237835
frozenset({'Weekday_Saturday'}),frozenset({'Part_of_Day_Evening (18-23)'}),0.10922681852175559,0.27011920744618545,0.030957894452303507,0.2834275947178428,1.0492685707080223,0.0014536328013385579,1.018572285471162,0.052712809725919636
frozenset({'Part_of_Day_Evening (18-23)'}),frozenset({'Weekday_Saturday'}),0.27011920744618545,0.10922681852175559,0.030957894452303507,0.11460826775330703,1.0492685707080223,0.0014536328013385579,1.0060780432384386,0.06433263856680096
frozenset({'Weather_Fair'}),frozenset({'Crossing'}),0.39941937053422594,0.07107178576899165,0.030459079318454176,0.07625839297106439,1.0729770209929865,0.002071631383860177,1.005614781409224,0.11324639581748722
frozenset({'Crossing'}),frozenset({'Weather_Fair'}),0.07107178576899165,0.39941937053422594,0.030459079318454176,0.4285678063227076,1.0729770209929865,0.002071631383860177,1.0510094392843097,0.07321727410454439
